disease,symptoms
Allergies,"itchy eyes, sneezing, runny nose, skin rash, nasal congestion, hives, wheezing, swollen lips, anaphylaxis risk, postnasal drip"
Asthma,"wheezing, shortness of breath, chest tightness, persistent cough, cough worse at night, difficulty exercising, mucus production, breathing triggered by allergens, breathlessness"
Anemia,"fatigue, weakness, pale skin, dizziness, shortness of breath, cold hands and feet, brittle nails, rapid heartbeat, chest pain, headache"
Arthritis,"joint pain, joint swelling, stiffness especially morning, reduced range of motion, redness around joints, warmth at joints, fatigue, joint deformity over time, loss of flexibility"
Appendicitis,"sudden abdominal pain around navel, pain shifting to lower right abdomen, nausea, vomiting, fever, loss of appetite, abdominal rigidity, rebound tenderness"
Acne,"pimples, blackheads, whiteheads, oily skin, nodular cysts, scarring, inflamed pustules, redness around lesions, skin irritation, comedones"
Alzheimer's,"progressive memory loss, confusion about time and place, difficulty with familiar tasks, personality changes, language difficulty, poor judgment, misplacing things, withdrawal, aggression, wandering"
Angina,"chest pain or pressure, squeezing sensation, shortness of breath, fatigue, nausea, sweating, pain radiating to arm or jaw, dizziness, discomfort worsened by exertion"
Anxiety disorder,"excessive worry, restlessness, muscle tension, fatigue, difficulty concentrating, irritability, sleep disturbances, rapid heartbeat, sweating, trembling"
Athlete's foot,"itching between toes, burning sensation, cracking skin, scaling, blisters, redness, stinging, foot odor, peeling skin"
Aphasia,"difficulty speaking, word-finding difficulty, garbled speech, trouble understanding language, difficulty reading, difficulty writing, substituting wrong words"
Atrial fibrillation,"irregular heartbeat, palpitations, rapid pulse, dizziness, fatigue, shortness of breath, chest discomfort, weakness, fainting episodes"
Bronchitis,"persistent cough with mucus, fatigue, slight fever, shortness of breath, chest tightness, sore throat, runny nose, body aches, mucus yellow or green, chest soreness"
Bursitis,"joint pain, swelling over joint, tenderness to touch, stiffness, redness, pain worsened by movement or pressure, warmth around joint"
Bell's palsy,"sudden facial drooping on one side, inability to close eye, drooling, dry eye, loss of taste, facial weakness, pain around jaw or ear, headache, sound sensitivity"
Bulimia,"binge eating episodes, self-induced vomiting, laxative misuse, excessive exercise to purge, tooth enamel erosion, swollen jaw, calluses on knuckles, irregular periods, electrolyte imbalance"
Bipolar disorder,"extreme mood swings, manic episodes, depressive episodes, inflated self-esteem during mania, decreased need for sleep, impulsive behavior, racing thoughts, periods of deep sadness, risky behavior"
Bladder infection,"burning during urination, frequent urination, urgent need to urinate, cloudy or bloody urine, pelvic pain, low-grade fever, strong-smelling urine, lower abdominal discomfort"
Breast cancer,"lump in breast or underarm, nipple discharge, skin dimpling or puckering, redness or scaliness of nipple, change in breast shape or size, breast pain, nipple inversion, swollen armpit lymph nodes"
Bruxism,"teeth grinding or clenching, jaw pain, tooth sensitivity, worn-down teeth, morning headache, ear pain, tight jaw muscles, disrupted sleep, tooth damage"
Botulism,"muscle weakness, blurred or double vision, drooping eyelids, slurred speech, difficulty swallowing, difficulty breathing, dry mouth, descending paralysis, nausea"
Beriberi,"difficulty walking, tingling or numbness in extremities, leg weakness, vision changes, paralysis in legs, confusion, edema, rapid heartbeat, vomiting"
Common cold,"runny or stuffy nose, sneezing, sore throat, mild cough, low-grade fever, mild body aches, watery eyes, mild fatigue, nasal congestion"
Chickenpox,"itchy blister-like rash all over body, fever, fatigue, loss of appetite, headache, spots crusting in stages, widespread rash, malaise, sore throat"
Cholera,"sudden profuse watery diarrhea, severe vomiting, rapid dehydration, muscle cramps, sunken eyes, decreased skin turgor, extreme thirst, low blood pressure, rapid heart rate"
Cirrhosis,"fatigue, easy bruising or bleeding, jaundice, abdominal swelling, itchy skin, leg swelling, confusion, spider angiomas, palmar redness, loss of appetite"
Colitis,"diarrhea with blood or mucus, abdominal cramping, fever, weight loss, urgency to defecate, rectal bleeding, fatigue, nausea, reduced appetite"
Conjunctivitis,"red eyes, itchy eyes, tearing, thick discharge, crusting on eyelids, burning sensation, light sensitivity, swollen eyelids, grittiness feeling"
