disease,remedy,severity
Allergies,"Use saline nasal rinse, apply cold compress to itchy areas, local honey",mild
Asthma,"Practice breathing exercises, use steam inhalation, avoid triggers",serious
Anemia,"Increase iron-rich foods (spinach, lentils), vitamin C for absorption",moderate
Arthritis,"Warm compress, gentle exercise, turmeric supplements",moderate
Appendicitis,Seek immediate medical attention (requires surgery),emergency
Acne,"Tea tree oil, honey masks, keep skin clean and moisturized",minor
Alzheimer's,"Mental exercises, Mediterranean diet, regular routine",serious
Angina,"Rest immediately, chew aspirin (if prescribed), seek medical help",serious
Anxiety disorder,"Deep breathing, chamomile tea, regular exercise",moderate
Athlete's foot,"Tea tree oil, keep feet dry, use antifungal powder",minor
Aphasia,"Speech therapy exercises, picture cards, patience in communication",serious
Atrial fibrillation,"Limit caffeine, practice stress reduction, seek medical care",serious
Bronchitis,"Warm fluids, steam inhalation, honey for cough",moderate
Bursitis,"Rest joint, ice pack, gentle stretching when healed",moderate
Bell's palsy,"Facial massage, eye protection, warm compress",moderate
Bulimia,"Professional help required, establish regular eating patterns",serious
Bipolar disorder,"Consistent sleep schedule, mood tracking, professional care",serious
Bladder infection,"Drink cranberry juice, stay hydrated, urinate frequently",moderate
Breast cancer,"Medical treatment required, healthy diet supports recovery",serious
Bruxism,"Mouth guard, jaw massage, stress reduction",moderate
Botulism,Seek emergency medical attention immediately,emergency
Beriberi,"Thiamine supplements, balanced diet, medical supervision",serious
Common cold,"Drink ginger tea, rest, use steam inhalation, stay hydrated",mild
Chickenpox,"Oatmeal baths, calamine lotion, keep nails short",moderate
Cholera,"Oral rehydration solution, seek medical care immediately",emergency
Cirrhosis,"Medical supervision required, low-sodium diet, no alcohol",serious
Colitis,"Probiotics, low-fiber diet during flares, stress management",moderate
Conjunctivitis,"Warm compress, clean with boiled water, avoid rubbing",mild
Crohn's disease,"Low-residue diet during flares, stress reduction, medical care",serious
Cystic fibrosis,"Medical treatment essential, chest physiotherapy",serious
Carpal tunnel syndrome,"Wrist splints, frequent breaks, hand exercises",moderate
Chronic fatigue syndrome,"Pacing activities, gentle exercise, sleep hygiene",moderate
Diabetes,"Monitor blood sugar, regular exercise, balanced diet",serious
Depression,"Regular routine, sunlight exposure, social connection",serious
Dengue fever,"Stay hydrated, rest, medical monitoring for complications",serious
Diverticulitis,"Clear liquids during flare, then high-fiber diet",moderate
Dyslexia,"Structured learning approaches, multisensory techniques",moderate
Dermatitis,"Oatmeal baths, coconut oil, identify and avoid triggers",mild
Dementia,"Memory aids, structured routine, cognitive stimulation",serious
Dyspepsia,"Small frequent meals, avoid spicy/fatty foods, ginger tea",mild
Dupuytren's contracture,"Hand exercises, massage, medical evaluation",moderate
Dry eye syndrome,"Warm compress, blink exercises, artificial tears",mild
Eczema,"Moisturize frequently, oatmeal baths, identify triggers",mild
Epilepsy,"Medical management essential, avoid flashing lights if sensitive",serious
Emphysema,"Stop smoking, pursed-lip breathing, avoid pollutants",serious
Endometriosis,"Heat pad, anti-inflammatory diet, gentle exercise",moderate
Ear infection,"Warm compress, garlic oil drops (if no perforation)",moderate
Esophagitis,"Small meals, avoid acidic foods, elevate head while sleeping",moderate
Erythema nodosum,"Rest, leg elevation, NSAIDs if approved by doctor",moderate
Essential tremor,"Limit caffeine, stress reduction, weighted utensils",moderate
Ehlers-Danlos syndrome,"Joint protection, physical therapy, bracing if needed",serious
Eosinophilic esophagitis,"Identify food triggers, soft diet during flares",moderate
Fibromyalgia,"Gentle exercise, heat therapy, consistent sleep schedule",moderate
Food poisoning,"Stay hydrated, BRAT diet (bananas, rice, applesauce, toast)",serious
Fungal infection,"Keep area dry, tea tree oil, antifungal creams",minor
Flu (Influenza),"Bed rest, hydrate, use fever reducers (consult doctor if severe)",serious
Frozen shoulder,"Gentle stretching, heat therapy, gradual movement",moderate
Farsightedness,"Proper lighting, eye exercises, regular eye exams",minor
Flat feet,"Supportive shoes, foot exercises, orthotics if needed",minor
Folliculitis,"Warm compress, antibacterial soap, avoid shaving",minor
Fragile X syndrome,"Structured routine, sensory-friendly environment",serious
Fifth disease,"Rest, fluids, antihistamines for itching",mild
Gastritis,"Small bland meals, chamomile tea, avoid alcohol/spicy food",moderate
Gout,"Cherry juice, stay hydrated, limit purine-rich foods",moderate
Glaucoma,"Medical treatment essential, protect eyes from strain",serious
Giardiasis,"Stay hydrated, bland diet, medical treatment often needed",moderate
Gallstones,"Low-fat diet, apple juice (some report benefits), medical care",serious
Gangrene,EMERGENCY - requires immediate medical attention,emergency
German measles,"Rest, fluids, isolate to prevent spread",moderate
Gingivitis,"Salt water rinse, proper brushing/flossing, vitamin C",minor
Graves' disease,"Medical treatment required, stress reduction",serious
Guillain-Barre syndrome,"Hospitalization required, physical therapy during recovery",emergency
Hypertension,"Reduce sodium, regular exercise, stress management",serious
Hemorrhoids,"Sitz baths, high-fiber diet, witch hazel pads",mild
Hepatitis,"Rest, no alcohol, medical supervision",serious
Hives,"Cold compress, oatmeal bath, antihistamines",mild
Heart failure,"Low-sodium diet, fluid monitoring, medical care",serious
Hernia,"Avoid heavy lifting, medical evaluation for repair",moderate
Herpes,"Lysine supplements, ice packs for outbreaks, stress reduction",moderate
Hypothyroidism,"Medical treatment required, selenium-rich foods",serious
Headache,"Hydration, dark quiet room, peppermint oil temples",mild
Hay fever,"Local honey, saline rinse, keep windows closed",mild
Insomnia,"Sleep routine, limit screens before bed, chamomile tea",moderate
Irritable bowel syndrome,"FODMAP diet, peppermint tea, stress reduction",moderate
Impetigo,"Keep clean, antibacterial ointment, avoid scratching",minor
Iron deficiency anemia,"Iron-rich foods with vitamin C, cooking in cast iron",moderate
Influenza,"Rest, fluids, fever reducers (medical care if severe)",serious
Ingrown toenail,"Warm water soaks, proper nail trimming technique",minor
Interstitial cystitis,"Avoid bladder irritants, pelvic floor relaxation",moderate
Iritis,"Dark glasses, medical attention required",moderate
Ichthyosis,"Frequent moisturizing, gentle exfoliation, humidifier",moderate
Infectious mononucleosis,"Rest, throat lozenges, avoid contact sports",moderate
Jaundice,"Medical evaluation needed, stay hydrated",serious
Juvenile arthritis,"Gentle exercise, heat/cold therapy, medical care",serious
Jock itch,"Keep area dry, antifungal cream, wear loose clothing",minor
Joint dislocation,"Immobilize, ice, seek medical reduction",serious
Jaw pain,"Soft diet, jaw exercises, stress reduction",moderate
Japanese encephalitis,"Hospital care required, prevention via vaccine",emergency
Juvenile diabetes,"Medical management essential, carb counting",serious
Jejunoileitis,"Small frequent meals, medical treatment needed",serious
Junctional epidermolysis bullosa,"Wound care, soft clothing, medical supervision",serious
Jod-Basedow phenomenon,"Medical care required, monitor thyroid function",serious
Kidney stones,"Hydration, lemon water, pain management",serious
Kawasaki disease,"Hospital treatment required, monitor heart",emergency
Keratitis,"Medical attention needed, avoid contacts",moderate
Klinefelter syndrome,"Testosterone therapy, educational support",serious
Kyphosis,"Posture exercises, back strengthening, bracing if needed",moderate
Keloid,"Silicone sheets, massage, medical treatments",minor
Keratosis pilaris,"Moisturize with lactic acid, gentle exfoliation",minor
Korsakoff syndrome,"Thiamine supplements, structured environment",serious
Kaposi's sarcoma,"Medical treatment required, immune support",serious
Krabbe disease,"Supportive care, physical therapy, medical supervision",serious
Laryngitis,"Voice rest, steam inhalation, honey lemon tea",mild
Lupus,"Sun protection, anti-inflammatory diet, medical care",serious
Lyme disease,"Medical treatment essential, rest during treatment",serious
Leukemia,"Medical treatment required, infection prevention",serious
Lung cancer,"Medical treatment essential, quit smoking",serious
Lice infestation,"Medicated shampoo, comb out nits, wash bedding",minor
Liver cirrhosis,"Medical supervision, no alcohol, low-sodium diet",serious
Legionnaires' disease,"Hospital treatment required, supportive care",emergency
Lactose intolerance,"Lactase supplements, dairy alternatives",minor
Lead poisoning,"Medical treatment required, remove exposure source",emergency
Migraine,"Apply cold compress, rest in dark room, drink caffeine in moderation",mild
Malaria,"Medical treatment essential, prevention via prophylaxis",emergency
Meningitis,EMERGENCY - requires immediate medical care,emergency
Multiple sclerosis,"Medical management, physical therapy, stress reduction",serious
Measles,"Rest, fluids, vitamin A (under medical supervision)",moderate
Mumps,"Rest, fluids, soft foods, ice packs for swelling",moderate
Myopia,"Proper lighting, eye exercises, regular eye exams",minor
Mononucleosis,"Rest, throat lozenges, avoid contact sports",moderate
Melanoma,"Medical treatment required, sun protection",serious
Macular degeneration,"AREDS supplements, low vision aids, no smoking",serious
Norovirus,"Hydration, BRAT diet, disinfect surfaces",moderate
Narcolepsy,"Scheduled naps, sleep hygiene, medical management",serious
Nephritis,"Medical evaluation, low-sodium diet, monitor BP",serious
Neuropathy,"Blood sugar control, foot care, alpha-lipoic acid",moderate
Nail fungus,"Tea tree oil, keep feet dry, antifungal treatments",minor
Nearsightedness,"Proper lighting, eye exercises, regular exams",minor
Nosebleed,"Pinch nose, lean forward, apply ice",minor
Nonalcoholic fatty liver,"Weight management, exercise, limit sugar",moderate
Nystagmus,"Visual aids, avoid triggers, medical evaluation",moderate
Necrotizing fasciitis,EMERGENCY - requires immediate surgery,emergency
Osteoporosis,"Calcium/vitamin D, weight-bearing exercise, fall prevention",serious
Osteoarthritis,"Low-impact exercise, heat/cold therapy, weight management",moderate
